Month,Sensex,Gsec,Sensex-percent,Gsec-percent,Sensex-1000,Gsec-1000
1-October-2009,9424.24,309.67,0,0,1000,1000
1-November-2009,8891.61,308.47,-0.059902537335758,-0.003890167601387,940.097462664242,996.109832398613
1-December-2009,9708.5,288.36,0.084141731472421,-0.069739214870301,1019.19889092564,926.641914762546
1-January-2010,11403.25,306.29,0.148619910990288,0.058539292827059,1170.67213937641,980.886877156658
1-February-2010,14625.25,297.96,0.220303926428608,-0.027956772721171,1428.57580824161,953.46444566681
1-March-2010,14493.84,293.08,-0.009066610366887,-0.016650743824212,1415.62346800872,937.588553436518
1-April-2010,15670.31,289.64,0.07507637053766,-0.011876812594946,1521.90334003475,926.452989896186
1-May-2010,15666.64,282.37,-0.000234255717882,-0.025746361157347,1521.54682547529,902.600196623016
1-June-2010,17126.84,288.34,0.085257992717863,0.020704723590206,1651.27085364155,921.288284206561
1-July-2010,15896.28,288.29,-0.077411822137003,-0.000173436470221,1523.44296801943,921.128499218492
1-August-2010,16926.22,295.19,0.060848789629344,0.023374775568278,1616.14262869275,942.659671157269
1-September-2010,17464.81,295.16,0.030838583414306,-0.000101639788589,1665.98217795711,942.563859427581
1-October-2010,16357.96,297.37,-0.067664305329027,0.007431818946094,1553.2546511951,949.568823375978
1-November-2010,16429.55,293.53,0.004357392624874,-0.013082138111948,1560.02279155677,937.146432881774
1-December-2010,17527.77,297.27,0.062656002446404,0.012581155178794,1657.76758340099,948.936817579113
1-January-2011,17558.71,293.13,0.001762088444994,-0.014123426466073,1660.68871650419,935.534578215085
1-February-2011,16944.63,298.66,-0.03624039002327,0.018516038304427,1600.50470971084,952.856972300431
1-March-2011,17700.9,300.53,0.042724946189177,0.006222340531727,1668.88618730875,958.785972860115
1-April-2011,17868.29,297.29,0.009367992124596,-0.010898449325574,1684.52029996831,948.336692520827
1-May-2011,17971.12,296.45,0.005721958342051,-0.002833530106257,1694.15905495107,945.649551951701
1-June-2011,20069.12,300.24,0.104538714203712,0.012623234745537,1871.26426421223,957.586708232999
1-July-2011,20032.34,296.83,-0.00183603113765,-0.011488057137082,1867.82856475636,946.585897415108
1-August-2011,19521.25,300.2,-0.026181212780944,0.011225849433711,1818.92654766415,957.212128175564
1-September-2011,20509.09,305.42,0.048165959581825,0.017091218649728,1906.53689024125,973.572049952385
1-October-2011,18327.76,303.11,-0.119017817780242,-0.007620995678137,1679.62503004721,966.152461567343
1-November-2011,17823.4,305.81,-0.028297631203923,0.008829011477715,1632.09562038605,974.682632739744
1-December-2011,19445.22,309.55,0.083404559063873,0.012082054595381,1768.21983595443,986.458801521674
1-January-2012,19135.96,308.16,-0.016161195989122,-0.004510643821391,1739.64328863372,982.009237223533
1-February-2012,18503.28,304.81,-0.034192856617854,-0.010990453069125,1680.15991509925,971.216510788381
1-March-2012,18845.87,308.16,0.01817851868871,0.010870976116303,1710.70273351591,981.774582280921
1-April-2012,18197.2,307.88,-0.035646692897808,-0.000909445238405,1649.72183853482,980.881712061879
1-May-2012,16676.75,312.42,-0.091171841036173,0.014531720120351,1499.31366131802,995.135610572732
1-June-2012,16453.76,312.59,-0.013552525380217,0.000543843373108,1478.99417487011,995.676808479887
1-July-2012,17705.01,306.02,0.070672086601476,-0.021469185020587,1583.5177792796,974.300438857924
1-August-2012,16123.46,306.65,-0.098089988129099,0.002054459481494,1428.19053910785,976.30209963236
1-September-2012,15454.92,313.12,-0.043257422231885,0.020663004598876,1366.41069793008,996.475434406955
1-October-2012,17193.55,320.25,0.101121059932358,0.022263856362217,1504.58359600768,1018.66082034707
